file,width,height,aspect_ratio,mean_intensity,std_intensity,laplacian_var,dark_fraction,otsu_ink_fraction
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_1.jpg,495,81,6.111111111111111,213.5761067464771,82.1442478436792,1482.6652371437142,0.12906846240179573,0.16321237061977803
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_10.jpg,1828,137,13.343065693430656,229.48708252807106,69.34624702031188,1056.7752097750522,0.08549090386366177,0.10217780191346292
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_11.jpg,1937,190,10.194736842105263,233.88214819444067,63.82779553707517,801.6806970437857,0.07066543488302585,0.08445778876722006
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_12.jpg,1049,115,9.121739130434783,223.5278318895843,76.25551714091843,1224.279333005961,0.10661914038214448,0.12604965391470138
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_2.jpg,1607,152,10.572368421052632,231.7929166803131,65.39711921949811,839.1012531640425,0.07432941407657288,0.09297727049421937
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_3.jpg,1877,174,10.78735632183908,235.4113864751162,60.678190080486075,707.8989518017664,0.06273767751180351,0.07806232738718547
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_4.jpg,1581,155,10.2,233.55432862010568,63.44473393053211,814.9058764813753,0.06987410989369733,0.08609495827467303
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_5.jpg,1912,163,11.730061349693251,234.23155017070104,62.55234116080815,798.7104655619864,0.06750391457247734,0.08330980311625638
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_6.jpg,1639,142,11.54225352112676,229.20553583858245,68.9658961945623,1069.9131371307851,0.08445118545317051,0.10327063049437565
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_7.jpg,1860,171,10.87719298245614,232.56588379551027,64.91573273232876,879.2305328568417,0.07353643966547192,0.09043576683644595
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_8.jpg,1914,169,11.325443786982248,234.25807658301028,63.147582394843816,771.2655396731151,0.06917264874824557,0.08319266939956595
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_9.jpg,1646,112,14.696428571428571,224.99065374934906,74.44857807147079,1350.839538735708,0.10067154139906266,0.11979799513973269
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1.jpg,2288,2196,1.041894353369763,241.3807232157642,51.990272188105315,523.9235575472221,0.044865426012966995,0.05480840880431044
data/work/Sample_Small/Segmentation_Images/Lines/1/1_2/1_2_1.jpg,2109,146,14.445205479452055,229.3477659346441,67.78616295185539,1300.1103602263781,0.08283156985392025,0.09537728066927778
data/work/Sample_Small/Segmentation_Images/Lines/1/1_2/1_2_10.jpg,2186,129,16.94573643410853,227.06849791130307,69.74410761703498,2110.5289010242823,0.08921111796704895,0.10037092987794066
data/work/Sample_Small/Segmentation_Images/Lines/1/1_2/1_2_11.jpg,2134,113,18.884955752212388,224.2106186396397,73.77740882707913,2347.8269483982235,0.10187358485871395,0.11441391379353244
data/work/Sample_Small/Segmentation_Images/Lines/1/1_2/1_2_12.jpg,2026,123,16.471544715447155,223.3620976091301,75.25209212065545,2320.399795919784,0.10620871756595157,0.11917832406359602
data/work/Sample_Small/Segmentation_Images/Lines/1/1_2/1_2_13.jpg,2093,140,14.95,230.71754487748277,66.18248644868846,1583.6625785175102,0.07894682956794757,0.08879939935840557
data/work/Sample_Small/Segmentation_Images/Lines/1/1_2/1_2_14.jpg,2164,158,13.69620253164557,231.25810734925946,66.24603471069392,1332.3942036249348,0.07851435457076675,0.08934170195839865
data/work/Sample_Small/Segmentation_Images/Lines/1/1_2/1_2_15.jpg,1965,152,12.927631578947368,230.84473349404044,67.33439880134435,1362.4864064613196,0.08115039507164859,0.09215213606535423
